"ComponentType","Count"
"androidx.cardview.widget.CardView","10"
"androidx.constraintlayout.widget.ConstraintLayout","5"
"androidx.coordinatorlayout.widget.CoordinatorLayout","5"
"androidx.core.widget.NestedScrollView","5"
"androidx.fragment.app.FragmentContainerView","1"
"androidx.recyclerview.widget.RecyclerView","5"
"androidx.viewpager2.widget.ViewPager2","1"
"com.github.mikephil.charting.charts.BarChart","1"
"com.google.android.material.bottomnavigation.BottomNavigationView","1"
"com.google.android.material.button.MaterialButton","17"
"com.google.android.material.button.MaterialButtonToggleGroup","1"
"com.google.android.material.card.MaterialCardView","21"
"com.google.android.material.floatingactionbutton.FloatingActionButton","1"
"com.google.android.material.textfield.TextInputEditText","7"
"com.google.android.material.textfield.TextInputLayout","7"
"com.zenzone.app.ui.focus.CircularTimerView","1"
"EditText","1"
"FrameLayout","7"
"ImageButton","4"
"ImageView","18"
"include","4"
"LinearLayout","67"
"ProgressBar","6"
"RadioButton","12"
"RadioGroup","2"
"ScrollView","1"
"Spinner","3"
"TextView","122"
"View","6"
