"ComponentType","LayoutFiles"
"androidx.cardview.widget.CardView","fragment_add_focus.xml; fragment_profile.xml; fragment_stats.xml; item_session_history.xml"
"androidx.constraintlayout.widget.ConstraintLayout","activity_main.xml; activity_splash.xml; item_zen_card.xml; layout_onboarding.xml"
"androidx.coordinatorlayout.widget.CoordinatorLayout","fragment_add_focus.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml"
"androidx.core.widget.NestedScrollView","fragment_add_focus.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml"
"androidx.fragment.app.FragmentContainerView","activity_main.xml"
"androidx.recyclerview.widget.RecyclerView","dialog_badges_list.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml"
"androidx.viewpager2.widget.ViewPager2","layout_onboarding.xml"
"com.github.mikephil.charting.charts.BarChart","fragment_stats.xml"
"com.google.android.material.bottomnavigation.BottomNavigationView","activity_main.xml"
"com.google.android.material.button.MaterialButton","dialog_add_focus.xml; dialog_badges_list.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; dialog_xp_info.xml; fragment_add_focus.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; layout_onboarding.xml"
"com.google.android.material.button.MaterialButtonToggleGroup","fragment_add_focus.xml"
"com.google.android.material.card.MaterialCardView","dialog_edit_profile.xml; dialog_xp_info.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; item_badge.xml; item_badge_list.xml; item_recent_session.xml; item_zen_card.xml; layout_common_navbar.xml"
"com.google.android.material.floatingactionbutton.FloatingActionButton","fragment_home.xml"
"com.google.android.material.textfield.TextInputEditText","dialog_add_focus.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; fragment_add_focus.xml; layout_onboarding.xml"
"com.google.android.material.textfield.TextInputLayout","dialog_add_focus.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; fragment_add_focus.xml; layout_onboarding.xml"
"com.zenzone.app.ui.focus.CircularTimerView","fragment_focus.xml"
"EditText","fragment_add_focus.xml"
"FrameLayout","dialog_add_focus.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; fragment_profile.xml; item_badge.xml; item_badge_list.xml; layout_common_navbar.xml"
"ImageButton","fragment_add_focus.xml; fragment_profile.xml; item_zen_card.xml"
"ImageView","activity_splash.xml; dialog_edit_profile.xml; fragment_add_focus.xml; fragment_profile.xml; fragment_stats.xml; item_badge.xml; item_badge_list.xml; item_onboarding_slide.xml; item_session_history.xml; layout_common_navbar.xml"
"include","activity_main.xml; fragment_focus.xml; fragment_home.xml; fragment_stats.xml"
"LinearLayout","dialog_add_focus.xml; dialog_badges_list.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; dialog_xp_info.xml; fragment_add_focus.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml; item_badge.xml; item_badge_list.xml; item_onboarding_slide.xml; item_recent_session.xml; item_session_history.xml; item_zen_card.xml; layout_common_navbar.xml; layout_onboarding.xml"
"ProgressBar","fragment_focus.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml; item_zen_card.xml"
"RadioButton","dialog_add_focus.xml; dialog_edit_focus.xml"
"RadioGroup","dialog_add_focus.xml; dialog_edit_focus.xml"
"ScrollView","dialog_xp_info.xml"
"Spinner","dialog_add_focus.xml; dialog_edit_focus.xml; fragment_focus.xml"
"TextView","activity_splash.xml; dialog_add_focus.xml; dialog_badges_list.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; dialog_xp_info.xml; fragment_add_focus.xml; fragment_focus.xml; fragment_home.xml; fragment_profile.xml; fragment_stats.xml; item_badge.xml; item_badge_list.xml; item_onboarding_slide.xml; item_recent_session.xml; item_session_history.xml; item_zen_card.xml; layout_common_navbar.xml; spinner_dropdown_item_goal.xml; spinner_item_goal.xml"
"View","dialog_add_focus.xml; dialog_edit_focus.xml; dialog_edit_profile.xml; dialog_xp_info.xml; fragment_focus.xml; item_zen_card.xml"
