"File","UIElementCount"
"activity_main.xml","4"
"activity_splash.xml","4"
"dialog_add_focus.xml","19"
"dialog_badges_list.xml","5"
"dialog_edit_focus.xml","21"
"dialog_edit_profile.xml","15"
"dialog_xp_info.xml","39"
"fragment_add_focus.xml","29"
"fragment_focus.xml","31"
"fragment_home.xml","31"
"fragment_profile.xml","38"
"fragment_stats.xml","35"
"item_badge.xml","7"
"item_badge_list.xml","10"
"item_onboarding_slide.xml","4"
"item_recent_session.xml","9"
"item_session_history.xml","10"
"item_zen_card.xml","15"
"layout_common_navbar.xml","7"
"layout_onboarding.xml","7"
"spinner_dropdown_item_goal.xml","1"
"spinner_item_goal.xml","1"
